"required",,,,,,,"optional","optional",,"optional","optional",,"optional","optional","optional",,,"optional","optional","optional","optional","optional",,"optional","optional","optional","optional","optional","optional","optional",,"optional",,"repeated","optional_struct","optional",,"optional",,"optional_struct","optional",,"optional",,"optional_struct","optional",,"optional",,"optional_struct","optional",,"optional",,"optional_struct","optional",,"optional",
111040028,11,1,4,0,28,,1,28,,"BuildingAttribute","AC","组装厂",0,12,"zuzhuangchang","UITexture/Bldg/",111040028,UITexture/Bldg/111040028.png,"ACDtl",2,2,3,,104,280,1,3,0,,28,,272270,272269.65610341,4,,220000110,"10级原石",6100,6073.97844957198,,220000210,"10级金属",3600,3644.38706974319,,220000310,"10级气体",2400,2429.59137982879,,220000410,"10级水晶",1200,1214.7956899144,,0,,0,
111040029,11,1,4,0,29,,1,29,,"BuildingAttribute","AC","组装厂",0,12,"zuzhuangchang","UITexture/Bldg/",111040029,UITexture/Bldg/111040029.png,"ACDtl",2,2,3,,104,290,1,3,0,,29,,280438,280437.745786512,4,,220000110,"10级原石",7500,7507.43736367097,,220000210,"10级金属",4500,4504.46241820258,,220000310,"10级气体",3000,3002.97494546839,,220000410,"10级水晶",1500,1501.48747273419,,0,,0,
111040030,11,1,4,0,30,,1,30,,"BuildingAttribute","AC","组装厂",0,12,"zuzhuangchang","UITexture/Bldg/",111040030,UITexture/Bldg/111040030.png,"ACDtl",2,2,3,,104,300,1,3,0,,30,,286047,286046.500702243,4,,220000110,"10级原石",9200,9189.10333313327,,220000210,"10级金属",5500,5513.46199987996,,220000310,"10级气体",3700,3675.64133325331,,220000410,"10级水晶",1800,1837.82066662665,,0,,0,
111050001,11,1,5,0,1,,1,1,,"BuildingAttribute","AP","配件厂",1,12,"peijianchang","UITexture/Bldg/",111050001,UITexture/Bldg/111050001.png,"APDtl",4,1,2,,105,10,1,1,0,"BLDG_CPNT_FACT",1,,14,14.0350877192982,2,,220000101,"1级原石",30,28.0701754385965,,220000201,"1级金属",20,16.8421052631579,,220000301,"1级气体",0,0,,220000401,"1级水晶",0,0,,0,,0,
111050002,11,1,5,0,2,,1,2,,"BuildingAttribute","AP","配件厂",1,12,"peijianchang","UITexture/Bldg/",111050002,UITexture/Bldg/111050002.png,"APDtl",4,1,2,,105,20,1,1,0,"BLDG_CPNT_FACT",2,,56,56.140350877193,2,,220000101,"1级原石",140,140.350877192982,,220000201,"1级金属",80,84.2105263157895,,220000301,"1级气体",0,0,,220000401,"1级水晶",0,0,,0,,0,
111050003,11,1,5,0,3,,1,3,,"BuildingAttribute","AP","配件厂",1,12,"peijianchang","UITexture/Bldg/",111050003,UITexture/Bldg/111050003.png,"APDtl",4,1,2,,105,30,1,1,0,"BLDG_CPNT_FACT",3,,225,224.561403508772,2,,220000101,"1级原石",700,701.754385964912,,220000201,"1级金属",420,421.052631578947,,220000301,"1级气体",0,0,,220000401,"1级水晶",0,0,,0,,0,
111050004,11,1,5,0,4,,1,4,,"BuildingAttribute","AP","配件厂",1,12,"peijianchang","UITexture/Bldg/",111050004,UITexture/Bldg/111050004.png,"APDtl",4,1,2,,105,40,1,1,0,"BLDG_CPNT_FACT",4,,898,898.245614035088,2,,220000102,"2级原石",1200,1169.59064327485,,220000202,"2级金属",700,701.754385964912,,220000302,"2级气体",0,0,,220000402,"2级水晶",0,0,,0,,0,
111050005,11,1,5,0,5,,1,5,,"BuildingAttribute","AP","配件厂",1,12,"peijianchang","UITexture/Bldg/",111050005,UITexture/Bldg/111050005.png,"APDtl",4,1,2,,105,50,1,1,0,"BLDG_CPNT_FACT",5,,2695,2694.73684210526,2,,220000102,"2级原石",4400,4385.9649122807,,220000202,"2级金属",2600,2631.57894736842,,220000302,"2级气体",0,0,,220000402,"2级水晶",0,0,,0,,0,
111050006,11,1,5,0,6,,1,6,,"BuildingAttribute","AP","配件厂",1,12,"peijianchang","UITexture/Bldg/",111050006,UITexture/Bldg/111050006.png,"APDtl",4,1,2,,105,60,1,1,0,"BLDG_CPNT_FACT",6,,5389,5389.47368421053,3,,220000102,"2级原石",8800,8771.9298245614,,220000202,"2级金属",5300,5263.15789473684,,220000302,"2级气体",1800,1754.38596491228,,220000402,"2级水晶",0,0,,0,,0,
111050007,11,1,5,0,7,,1,7,,"BuildingAttribute","AP","配件厂",1,12,"peijianchang","UITexture/Bldg/",111050007,UITexture/Bldg/111050007.png,"APDtl",4,1,2,,105,70,1,1,0,"BLDG_CPNT_FACT",7,,10779,10778.9473684211,3,,220000103,"3级原石",7300,7309.94152046784,,220000203,"3级金属",4400,4385.9649122807,,220000303,"3级气体",1500,1461.98830409357,,220000403,"3级水晶",0,0,,0,,0,
111050008,11,1,5,0,8,,1,8,,"BuildingAttribute","AP","配件厂",1,12,"peijianchang","UITexture/Bldg/",111050008,UITexture/Bldg/111050008.png,"APDtl",4,1,2,,105,80,1,1,0,"BLDG_CPNT_FACT",8,,11857,11856.8421052632,3,,220000103,"3级原石",10000,10051.1695906433,,220000203,"3级金属",6000,6030.70175438597,,220000303,"3级气体",2000,2010.23391812866,,220000403,"3级水晶",0,0,,0,,0,
111050009,11,1,5,0,9,,1,9,,"BuildingAttribute","AP","配件厂",1,12,"peijianchang","UITexture/Bldg/",111050009,UITexture/Bldg/111050009.png,"APDtl",4,1,2,,105,90,1,1,0,"BLDG_CPNT_FACT",9,,13043,13042.5263157895,3,,220000103,"3级原石",14000,13820.3581871345,,220000203,"3级金属",8300,8292.2149122807,,220000303,"3级气体",2800,2764.0716374269,,220000403,"3级水晶",0,0,,0,,0,
111050010,11,1,5,0,10,,1,10,,"BuildingAttribute","AP","配件厂",1,12,"peijianchang","UITexture/Bldg/",111050010,UITexture/Bldg/111050010.png,"APDtl",4,1,2,,105,100,1,1,0,"BLDG_CPNT_FACT",10,,15651,15651.0315789474,3,,220000104,"4级原石",8300,8292.2149122807,,220000204,"4级金属",5000,4975.32894736842,,220000304,"4级气体",1700,1658.44298245614,,220000404,"4级水晶",0,0,,0,,0,
111050011,11,1,5,0,11,,1,11,,"BuildingAttribute","AP","配件厂",1,12,"peijianchang","UITexture/Bldg/",111050011,UITexture/Bldg/111050011.png,"APDtl",4,1,2,,105,110,1,1,0,"BLDG_CPNT_FACT",11,,23477,23476.5473684211,4,,220000104,"4级原石",16000,15547.9029605263,,220000204,"4级金属",7000,6996.55633223684,,220000304,"4级气体",3100,3109.58059210526,,220000404,"4级水晶",780,777.395148026316,,0,,0,
111050012,11,1,5,0,12,,1,12,,"BuildingAttribute","AP","配件厂",1,12,"peijianchang","UITexture/Bldg/",111050012,UITexture/Bldg/111050012.png,"APDtl",4,1,2,,105,120,1,1,0,"BLDG_CPNT_FACT",12,,35215,35214.8210526316,4,,220000104,"4级原石",29000,29152.3180509868,,220000204,"4级金属",13000,13118.5431229441,,220000304,"4级气体",5800,5830.46361019737,,220000404,"4级水晶",1500,1457.61590254934,,0,,0,
111050013,11,1,5,0,13,,1,13,,"BuildingAttribute","AP","配件厂",0,12,"peijianchang","UITexture/Bldg/",111050013,UITexture/Bldg/111050013.png,"APDtl",4,1,2,,105,130,1,1,0,"BLDG_CPNT_FACT",13,,45779,45779.2673684211,4,,220000105,"5级原石",16000,15790.8389442845,,220000205,"5级金属",7100,7105.87752492804,,220000305,"5级气体",3200,3158.16778885691,,220000405,"5级水晶",790,789.541947214227,,0,,0,
111050014,11,1,5,0,14,,1,14,,"BuildingAttribute","AP","配件厂",0,12,"peijianchang","UITexture/Bldg/",111050014,UITexture/Bldg/111050014.png,"APDtl",4,1,2,,105,140,1,1,0,"BLDG_CPNT_FACT",14,,50357,50357.1941052632,4,,220000105,"5级原石",22000,21712.4035483912,,220000205,"5级金属",9800,9770.58159677606,,220000305,"5级气体",4300,4342.48070967825,,220000405,"5级水晶",1100,1085.62017741956,,0,,0,
111050015,11,1,5,0,15,,1,15,,"BuildingAttribute","AP","配件厂",0,12,"peijianchang","UITexture/Bldg/",111050015,UITexture/Bldg/111050015.png,"APDtl",4,1,2,,105,150,1,1,0,"BLDG_CPNT_FACT",15,,55393,55392.9135157895,4,,220000105,"5级原石",30000,29854.554879038,,220000205,"5级金属",13000,13434.5496955671,,220000305,"5级气体",6000,5970.91097580759,,220000405,"5级水晶",1500,1492.7277439519,,0,,0,
111050016,11,1,5,0,16,,1,16,,"BuildingAttribute","AP","配件厂",0,12,"peijianchang","UITexture/Bldg/",111050016,UITexture/Bldg/111050016.png,"APDtl",4,1,2,,105,160,1,1,0,"BLDG_CPNT_FACT",16,,60932,60932.2048673684,4,,220000106,"6级原石",8600,8552.08603305775,,220000206,"6级金属",5100,5131.25161983465,,220000306,"6级气体",3400,3420.8344132231,,220000406,"6级水晶",1700,1710.41720661155,,0,,0,
111050017,11,1,5,0,17,,1,17,,"BuildingAttribute","AP","配件厂",0,12,"peijianchang","UITexture/Bldg/",111050017,UITexture/Bldg/111050017.png,"APDtl",4,1,2,,105,170,1,1,0,"BLDG_CPNT_FACT",17,,91398,91398.3073010527,4,,220000106,"6级原石",16000,16035.1613119833,,220000206,"6级金属",9600,9621.09678718997,,220000306,"6级气体",6400,6414.06452479331,,220000406,"6级水晶",3200,3207.03226239666,,0,,0,
111050018,11,1,5,0,18,,1,18,,"BuildingAttribute","AP","配件厂",0,12,"peijianchang","UITexture/Bldg/",111050018,UITexture/Bldg/111050018.png,"APDtl",4,1,2,,105,180,1,1,0,"BLDG_CPNT_FACT",18,,137097,137097.460951579,4,,220000106,"6级原石",30000,30065.9274599687,,220000206,"6级金属",18000,18039.5564759812,,220000306,"6级气体",12000,12026.3709839875,,220000406,"6级水晶",6000,6013.18549199373,,0,,0,
111050019,11,1,5,0,19,,1,19,,"BuildingAttribute","AP","配件厂",0,12,"peijianchang","UITexture/Bldg/",111050019,UITexture/Bldg/111050019.png,"APDtl",4,1,2,,105,190,1,1,0,"BLDG_CPNT_FACT",19,,164517,164516.953141895,4,,220000107,"7级原石",15000,15032.9637299843,,220000207,"7级金属",9000,9019.77823799059,,220000307,"7级气体",6000,6013.18549199373,,220000407,"7级水晶",3000,3006.59274599687,,0,,0,
111050020,11,1,5,0,20,,1,20,,"BuildingAttribute","AP","配件厂",0,12,"peijianchang","UITexture/Bldg/",111050020,UITexture/Bldg/111050020.png,"APDtl",4,1,2,,105,200,1,1,0,"BLDG_CPNT_FACT",20,,180969,180968.648456084,4,,220000107,"7级原石",21000,20670.3251287285,,220000207,"7级金属",12000,12402.1950772371,,220000307,"7级气体",8300,8268.13005149138,,220000407,"7级水晶",4100,4134.06502574569,,0,,0,
111050021,11,1,5,0,21,,1,21,,"BuildingAttribute","AP","配件厂",0,12,"peijianchang","UITexture/Bldg/",111050021,UITexture/Bldg/111050021.png,"APDtl",4,1,2,,105,210,1,1,0,"BLDG_CPNT_FACT",21,,195446,195446.140332571,4,,220000107,"7级原石",28000,27904.9389237834,,220000207,"7级金属",17000,16742.96335427,,220000307,"7级气体",11000,11161.9755695134,,220000407,"7级水晶",5600,5580.98778475668,,0,,0,
111050022,11,1,5,0,22,,1,22,,"BuildingAttribute","AP","配件厂",0,12,"peijianchang","UITexture/Bldg/",111050022,UITexture/Bldg/111050022.png,"APDtl",4,1,2,,105,220,1,1,0,"BLDG_CPNT_FACT",22,,209127,209127.370155851,4,,220000108,"8级原石",12000,12440.9519368534,,220000208,"8级金属",7500,7464.57116211206,,220000308,"8级气体",5000,4976.38077474137,,220000408,"8级水晶",2500,2488.19038737069,,0,,0,
111050023,11,1,5,0,23,,1,23,,"BuildingAttribute","AP","配件厂",0,12,"peijianchang","UITexture/Bldg/",111050023,UITexture/Bldg/111050023.png,"APDtl",4,1,2,,105,230,1,1,0,"BLDG_CPNT_FACT",23,,221675,221675.012365202,4,,220000108,"8级原石",16000,16484.2613163308,,220000208,"8级金属",9900,9890.55678979848,,220000308,"8级气体",6600,6593.70452653232,,220000408,"8级水晶",3300,3296.85226326616,,0,,0,
111050024,11,1,5,0,24,,1,24,,"BuildingAttribute","AP","配件厂",0,12,"peijianchang","UITexture/Bldg/",111050024,UITexture/Bldg/111050024.png,"APDtl",4,1,2,,105,240,1,1,0,"BLDG_CPNT_FACT",24,,232759,232758.762983462,4,,220000108,"8级原石",22000,21635.5929776842,,220000208,"8级金属",13000,12981.3557866105,,220000308,"8级气体",8700,8654.23719107367,,220000408,"8级水晶",4300,4327.11859553684,,0,,0,
111050025,11,1,5,0,25,,1,25,,"BuildingAttribute","AP","配件厂",0,12,"peijianchang","UITexture/Bldg/",111050025,UITexture/Bldg/111050025.png,"APDtl",4,1,2,,105,250,1,1,0,"BLDG_CPNT_FACT",25,,244397,244396.701132635,4,,220000109,"9级原石",9500,9465.57192773683,,220000209,"9级金属",5700,5679.3431566421,,220000309,"9级气体",3800,3786.22877109473,,220000409,"9级水晶",1900,1893.11438554737,,0,,0,
111050026,11,1,5,0,26,,1,26,,"BuildingAttribute","AP","配件厂",0,12,"peijianchang","UITexture/Bldg/",111050026,UITexture/Bldg/111050026.png,"APDtl",4,1,2,,105,260,1,1,0,"BLDG_CPNT_FACT",26,,254173,254172.569177941,4,,220000109,"9级原石",12000,11813.0337658156,,220000209,"9级金属",7100,7087.82025948934,,220000309,"9级气体",4700,4725.21350632622,,220000409,"9级水晶",2400,2362.60675316311,,0,,0,
111050027,11,1,5,0,27,,1,27,,"BuildingAttribute","AP","配件厂",0,12,"peijianchang","UITexture/Bldg/",111050027,UITexture/Bldg/111050027.png,"APDtl",4,1,2,,105,270,1,1,0,"BLDG_CPNT_FACT",27,,264339,264339.471945058,4,,220000109,"9级原石",15000,14742.6661397378,,220000209,"9级金属",8800,8845.59968384269,,220000309,"9级气体",5900,5897.06645589513,,220000409,"9级水晶",2900,2948.53322794756,,0,,0,
111050028,11,1,5,0,28,,1,28,,"BuildingAttribute","AP","配件厂",0,12,"peijianchang","UITexture/Bldg/",111050028,UITexture/Bldg/111050028.png,"APDtl",4,1,2,,105,280,1,1,0,"BLDG_CPNT_FACT",28,,272270,272269.65610341,4,,220000110,"10级原石",6100,6073.97844957198,,220000210,"10级金属",3600,3644.38706974319,,220000310,"10级气体",2400,2429.59137982879,,220000410,"10级水晶",1200,1214.7956899144,,0,,0,
111050029,11,1,5,0,29,,1,29,,"BuildingAttribute","AP","配件厂",0,12,"peijianchang","UITexture/Bldg/",111050029,UITexture/Bldg/111050029.png,"APDtl",4,1,2,,105,290,1,1,0,"BLDG_CPNT_FACT",29,,280438,280437.745786512,4,,220000110,"10级原石",7500,7507.43736367097,,220000210,"10级金属",4500,4504.46241820258,,220000310,"10级气体",3000,3002.97494546839,,220000410,"10级水晶",1500,1501.48747273419,,0,,0,
111050030,11,1,5,0,30,,1,30,,"BuildingAttribute","AP","配件厂",0,12,"peijianchang","UITexture/Bldg/",111050030,UITexture/Bldg/111050030.png,"APDtl",4,1,2,,105,300,1,1,0,"BLDG_CPNT_FACT",30,,286047,286046.500702243,4,,220000110,"10级原石",9200,9189.10333313327,,220000210,"10级金属",5500,5513.46199987996,,220000310,"10级气体",3700,3675.64133325331,,220000410,"10级水晶",1800,1837.82066662665,,0,,0,
112010001,11,2,1,0,1,,2,1,,"BuildingAttribute","MS","采集厂",1,12,"caijichang_level5","UITexture/Bldg/",112010001,UITexture/Bldg/112010001.png,"MSDtl",1,1,2,,201,10,1,1,0,"BLDG_SURF_COL",1,,4,3.50877192982456,2,,220000101,"1级原石",7,7.01754385964912,,220000201,"1级金属",4,4.21052631578947,,220000301,"1级气体",0,0,,220000401,"1级水晶",0,0,,0,,0,
112010002,11,2,1,0,2,,2,2,,"BuildingAttribute","MS","采集厂",1,12,"Caijichang_lv2","UITexture/Bldg/",112010002,UITexture/Bldg/112010002.png,"MSDtl",1,1,2,,201,20,1,1,0,"BLDG_SURF_COL",2,,14,14.0350877192982,2,,220000101,"1级原石",40,35.0877192982456,,220000201,"1级金属",20,21.0526315789474,,220000301,"1级气体",0,0,,220000401,"1级水晶",0,0,,0,,0,
112010003,11,2,1,0,3,,2,3,,"BuildingAttribute","MS","采集厂",1,12,"Caijichang_lv2","UITexture/Bldg/",112010003,UITexture/Bldg/112010003.png,"MSDtl",1,1,2,,201,30,1,1,0,"BLDG_SURF_COL",3,,56,56.140350877193,2,,220000101,"1级原石",180,175.438596491228,,220000201,"1级金属",110,105.263157894737,,220000301,"1级气体",0,0,,220000401,"1级水晶",0,0,,0,,0,
112010004,11,2,1,0,4,,2,4,,"BuildingAttribute","MS","采集厂",1,12,"Caijichang_lv2","UITexture/Bldg/",112010004,UITexture/Bldg/112010004.png,"MSDtl",1,1,2,,201,40,1,1,0,"BLDG_SURF_COL",4,,225,224.561403508772,2,,220000102,"2级原石",290,292.397660818713,,220000202,"2级金属",180,175.438596491228,,220000302,"2级气体",0,0,,220000402,"2级水晶",0,0,,0,,0,
112010005,11,2,1,0,5,,2,5,,"BuildingAttribute","MS","采集厂",1,12,"Caijichang_lv2","UITexture/Bldg/",112010005,UITexture/Bldg/112010005.png,"MSDtl",1,1,2,,201,50,1,1,0,"BLDG_SURF_COL",5,,674,673.684210526316,2,,220000102,"2级原石",1100,1096.49122807018,,220000202,"2级金属",660,657.894736842105,,220000302,"2级气体",0,0,,220000402,"2级水晶",0,0,,0,,0,
112010006,11,2,1,0,6,,2,6,,"BuildingAttribute","MS","采集厂",1,12,"Caijichang_lv2","UITexture/Bldg/",112010006,UITexture/Bldg/112010006.png,"MSDtl",1,1,2,,201,60,1,1,0,"BLDG_SURF_COL",6,,1347,1347.36842105263,3,,220000102,"2级原石",2200,2192.98245614035,,220000202,"2级金属",1300,1315.78947368421,,220000302,"2级气体",440,438.59649122807,,220000402,"2级水晶",0,0,,0,,0,
112010007,11,2,1,0,7,,2,7,,"BuildingAttribute","MS","采集厂",1,12,"Caijichang_lv2","UITexture/Bldg/",112010007,UITexture/Bldg/112010007.png,"MSDtl",1,1,2,,201,70,1,1,0,"BLDG_SURF_COL",7,,2695,2694.73684210526,3,,220000103,"3级原石",1800,1827.48538011696,,220000203,"3级金属",1100,1096.49122807018,,220000303,"3级气体",370,365.497076023392,,220000403,"3级水晶",0,0,,0,,0,
112010008,11,2,1,0,8,,2,8,,"BuildingAttribute","MS","采集厂",1,12,"Caijichang_lv2","UITexture/Bldg/",112010008,UITexture/Bldg/112010008.png,"MSDtl",1,1,2,,201,80,1,1,0,"BLDG_SURF_COL",8,,2964,2964.21052631579,3,,220000103,"3级原石",2500,2512.79239766082,,220000203,"3级金属",1500,1507.67543859649,,220000303,"3级气体",500,502.558479532164,,220000403,"3级水晶",0,0,,0,,0,
112010009,11,2,1,0,9,,2,9,,"BuildingAttribute","MS","采集厂",1,12,"Caijichang_lv2","UITexture/Bldg/",112010009,UITexture/Bldg/112010009.png,"MSDtl",1,1,2,,201,90,1,1,0,"BLDG_SURF_COL",9,,3261,3260.63157894737,3,,220000103,"3级原石",3500,3455.08954678363,,220000203,"3级金属",2100,2073.05372807018,,220000303,"3级气体",690,691.017909356725,,220000403,"3级水晶",0,0,,0,,0,
112010010,11,2,1,0,10,,2,10,,"BuildingAttribute","MS","采集厂",1,12,"Caijichang_lv2","UITexture/Bldg/",112010010,UITexture/Bldg/112010010.png,"MSDtl",1,1,2,,201,100,1,1,0,"BLDG_SURF_COL",10,,3913,3912.75789473684,3,,220000104,"4级原石",2100,2073.05372807018,,220000204,"4级金属",1200,1243.83223684211,,220000304,"4级气体",410,414.610745614035,,220000404,"4级水晶",0,0,,0,,0,
112010011,11,2,1,0,11,,2,11,,"BuildingAttribute","MS","采集厂",1,12,"Caijichang_lv2","UITexture/Bldg/",112010011,UITexture/Bldg/112010011.png,"MSDtl",1,1,2,,201,110,1,1,0,"BLDG_SURF_COL",11,,5869,5869.13684210526,4,,220000104,"4级原石",3900,3886.97574013158,,220000204,"4级金属",1700,1749.13908305921,,220000304,"4级气体",780,777.395148026316,,220000404,"4级水晶",190,194.348787006579,,0,,0,
112010012,11,2,1,0,12,,2,12,,"BuildingAttribute","MS","采集厂",1,12,"Caijichang_lv2","UITexture/Bldg/",112010012,UITexture/Bldg/112010012.png,"MSDtl",1,1,2,,201,120,1,1,0,"BLDG_SURF_COL",12,,8804,8803.7052631579,4,,220000104,"4级原石",7300,7288.07951274671,,220000204,"4级金属",3300,3279.63578073602,,220000304,"4级气体",1500,1457.61590254934,,220000404,"4级水晶",360,364.403975637336,,0,,0,
112010013,11,2,1,0,13,,2,13,,"BuildingAttribute","MS","采集厂",0,12,"Caijichang_lv2","UITexture/Bldg/",112010013,UITexture/Bldg/112010013.png,"MSDtl",1,1,2,,201,130,1,1,0,"BLDG_SURF_COL",13,,11445,11444.8168421053,4,,220000105,"5级原石",3900,3947.70973607114,,220000205,"5级金属",1800,1776.46938123201,,220000305,"5级气体",790,789.541947214227,,220000405,"5级水晶",200,197.385486803557,,0,,0,
112010014,11,2,1,0,14,,2,14,,"BuildingAttribute","MS","采集厂",0,12,"Caijichang_lv2","UITexture/Bldg/",112010014,UITexture/Bldg/112010014.png,"MSDtl",1,1,2,,201,140,1,1,0,"BLDG_SURF_COL",14,,12589,12589.2985263158,4,,220000105,"5级原石",5400,5428.10088709781,,220000205,"5级金属",2400,2442.64539919402,,220000305,"5级气体",1100,1085.62017741956,,220000405,"5级水晶",270,271.405044354891,,0,,0,
112010015,11,2,1,0,15,,2,15,,"BuildingAttribute","MS","采集厂",0,12,"Caijichang_lv2","UITexture/Bldg/",112010015,UITexture/Bldg/112010015.png,"MSDtl",1,1,2,,201,150,1,1,0,"BLDG_SURF_COL",15,,13848,13848.2283789474,4,,220000105,"5级原石",7500,7463.63871975949,,220000205,"5级金属",3400,3358.63742389177,,220000305,"5级气体",1500,1492.7277439519,,220000405,"5级水晶",370,373.181935987975,,0,,0,
112010016,11,2,1,0,16,,2,16,,"BuildingAttribute","MS","采集厂",0,12,"Caijichang_lv2","UITexture/Bldg/",112010016,UITexture/Bldg/112010016.png,"MSDtl",1,1,2,,201,160,1,1,0,"BLDG_SURF_COL",16,,15233,15233.0512168421,4,,220000106,"6级原石",2100,2138.02150826444,,220000206,"6级金属",1300,1282.81290495866,,220000306,"6级气体",860,855.208603305775,,220000406,"6级水晶",430,427.604301652888,,0,,0,
112010017,11,2,1,0,17,,2,17,,"BuildingAttribute","MS","采集厂",0,12,"Caijichang_lv2","UITexture/Bldg/",112010017,UITexture/Bldg/112010017.png,"MSDtl",1,1,2,,201,170,1,1,0,"BLDG_SURF_COL",17,,22850,22849.5768252632,4,,220000106,"6级原石",4000,4008.79032799582,,220000206,"6级金属",2400,2405.27419679749,,220000306,"6级气体",1600,1603.51613119833,,220000406,"6级水晶",800,801.758065599164,,0,,0,
112010018,11,2,1,0,18,,2,18,,"BuildingAttribute","MS","采集厂",0,12,"Caijichang_lv2","UITexture/Bldg/",112010018,UITexture/Bldg/112010018.png,"MSDtl",1,1,2,,201,180,1,1,0,"BLDG_SURF_COL",18,,34274,34274.3652378947,4,,220000106,"6级原石",7500,7516.48186499216,,220000206,"6级金属",4500,4509.8891189953,,220000306,"6级气体",3000,3006.59274599687,,220000406,"6级水晶",1500,1503.29637299843,,0,,0,
112010019,11,2,1,0,19,,2,19,,"BuildingAttribute","MS","采集厂",0,12,"Caijichang_lv2","UITexture/Bldg/",112010019,UITexture/Bldg/112010019.png,"MSDtl",1,1,2,,201,190,1,1,0,"BLDG_SURF_COL",19,,41129,41129.2382854737,4,,220000107,"7级原石",3800,3758.24093249608,,220000207,"7级金属",2300,2254.94455949765,,220000307,"7级气体",1500,1503.29637299843,,220000407,"7级水晶",750,751.648186499216,,0,,0,
112010020,11,2,1,0,20,,2,20,,"BuildingAttribute","MS","采集厂",0,12,"Caijichang_lv2","UITexture/Bldg/",112010020,UITexture/Bldg/112010020.png,"MSDtl",1,1,2,,201,200,1,1,0,"BLDG_SURF_COL",20,,45242,45242.1621140211,4,,220000107,"7级原石",5200,5167.58128218211,,220000207,"7级金属",3100,3100.54876930927,,220000307,"7级气体",2100,2067.03251287285,,220000407,"7级水晶",1000,1033.51625643642,,0,,0,
112010021,11,2,1,0,21,,2,21,,"BuildingAttribute","MS","采集厂",0,12,"Caijichang_lv2","UITexture/Bldg/",112010021,UITexture/Bldg/112010021.png,"MSDtl",1,1,2,,201,210,1,1,0,"BLDG_SURF_COL",21,,48862,48861.5350831428,4,,220000107,"7级原石",7000,6976.23473094585,,220000207,"7级金属",4200,4185.74083856751,,220000307,"7级气体",2800,2790.49389237834,,220000407,"7级水晶",1400,1395.24694618917,,0,,0,
112010022,11,2,1,0,22,,2,22,,"BuildingAttribute","MS","采集厂",0,12,"Caijichang_lv2","UITexture/Bldg/",112010022,UITexture/Bldg/112010022.png,"MSDtl",1,1,2,,201,220,1,1,0,"BLDG_SURF_COL",22,,52282,52281.8425389628,4,,220000108,"8级原石",3100,3110.23798421336,,220000208,"8级金属",1900,1866.14279052802,,220000308,"8级气体",1200,1244.09519368534,,220000408,"8级水晶",620,622.047596842672,,0,,0,
112010023,11,2,1,0,23,,2,23,,"BuildingAttribute","MS","采集厂",0,12,"Caijichang_lv2","UITexture/Bldg/",112010023,UITexture/Bldg/112010023.png,"MSDtl",1,1,2,,201,230,1,1,0,"BLDG_SURF_COL",23,,55419,55418.7530913005,4,,220000108,"8级原石",4100,4121.0653290827,,220000208,"8级金属",2500,2472.63919744962,,220000308,"8级气体",1600,1648.42613163308,,220000408,"8级水晶",820,824.21306581654,,0,,0,
112010024,11,2,1,0,24,,2,24,,"BuildingAttribute","MS","采集厂",0,12,"Caijichang_lv2","UITexture/Bldg/",112010024,UITexture/Bldg/112010024.png,"MSDtl",1,1,2,,201,240,1,1,0,"BLDG_SURF_COL",24,,58190,58189.6907458655,4,,220000108,"8级原石",5400,5408.89824442105,,220000208,"8级金属",3200,3245.33894665263,,220000308,"8级气体",2200,2163.55929776842,,220000408,"8级水晶",1100,1081.77964888421,,0,,0,
112010025,11,2,1,0,25,,2,25,,"BuildingAttribute","MS","采集厂",0,12,"Caijichang_lv2","UITexture/Bldg/",112010025,UITexture/Bldg/112010025.png,"MSDtl",1,1,2,,201,250,1,1,0,"BLDG_SURF_COL",25,,61099,61099.1752831588,4,,220000109,"9级原石",2400,2366.39298193421,,220000209,"9级金属",1400,1419.83578916052,,220000309,"9级气体",950,946.557192773683,,220000409,"9级水晶",470,473.278596386842,,0,,0,
112010026,11,2,1,0,26,,2,26,,"BuildingAttribute","MS","采集厂",0,12,"Caijichang_lv2","UITexture/Bldg/",112010026,UITexture/Bldg/112010026.png,"MSDtl",1,1,2,,201,260,1,1,0,"BLDG_SURF_COL",26,,63543,63543.1422944852,4,,220000109,"9级原石",3000,2953.25844145389,,220000209,"9级金属",1800,1771.95506487233,,220000309,"9级气体",1200,1181.30337658156,,220000409,"9级水晶",590,590.651688290778,,0,,0,
112010027,11,2,1,0,27,,2,27,,"BuildingAttribute","MS","采集厂",0,12,"Caijichang_lv2","UITexture/Bldg/",112010027,UITexture/Bldg/112010027.png,"MSDtl",1,1,2,,201,270,1,1,0,"BLDG_SURF_COL",27,,66085,66084.8679862646,4,,220000109,"9级原石",3700,3685.66653493446,,220000209,"9级金属",2200,2211.39992096067,,220000309,"9级气体",1500,1474.26661397378,,220000409,"9级水晶",740,737.133306986891,,0,,0,
112010028,11,2,1,0,28,,2,28,,"BuildingAttribute","MS","采集厂",0,12,"Caijichang_lv2","UITexture/Bldg/",112010028,UITexture/Bldg/112010028.png,"MSDtl",1,1,2,,201,280,1,1,0,"BLDG_SURF_COL",28,,68067,68067.4140258525,4,,220000110,"10级原石",1500,1518.494612393,,220000210,"10级金属",910,911.096767435798,,220000310,"10级气体",610,607.397844957198,,220000410,"10级水晶",300,303.698922478599,,0,,0,
