"required",,,,,,,,,"optional",,"optional","optional",,,"optional","optional",,,"optional","optional","optional",,,,"repeated","optional_struct","optional",,"optional","optional_struct","optional",,"optional","optional_struct","optional",,"optional",,"optional","repeated","optional","optional","optional",,"optional",,,,,"optional","optional","repeated","optional_struct","optional",,"optional","optional_struct","optional",,"optional","optional_struct","optional",,"optional","optional_struct","optional",,"optional","optional_struct","optional",,"optional"
321050126,32,1,5,1,26,,1,105,26,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",0,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",510,,,,,,,,,,0,0,,,,,1560,,,26,,2600,260,0,,0,,,,,,,,,,,,,,,,,,
321050127,32,1,5,1,27,,1,105,27,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",0,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",520,,,,,,,,,,0,0,,,,,1620,,,27,,2700,270,0,,0,,,,,,,,,,,,,,,,,,
321050128,32,1,5,1,28,,1,105,28,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",0,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",530,,,,,,,,,,0,0,,,,,1680,,,28,,2800,280,0,,0,,,,,,,,,,,,,,,,,,
321050129,32,1,5,1,29,,1,105,29,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",0,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",540,,,,,,,,,,0,0,,,,,1740,,,29,,2900,290,0,,0,,,,,,,,,,,,,,,,,,
321050130,32,1,5,1,30,,1,105,30,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",0,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",600,,,,,,,,,,30,0,,,,,1800,,,30,,3000,300,0,,0,,,,,,,,,,,,,,,,,,
321050201,32,1,5,2,1,,1,105,1,,"SkillTree","STName3210502","配件厂","配件领取容量科技",1,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",4006,4,6,,1,,121050002,"配件领取容量",1,,,,,,,,,,3,0,,,,,60,,,1,,100,10,0,,0,,,,,,,,,,,,,,,,,,
321050202,32,1,5,2,2,,1,105,2,,"SkillTree","STName3210502","配件厂","配件领取容量科技",1,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",2,,,,,,,,,,0,0,,,,,120,,,2,,200,20,0,,0,,,,,,,,,,,,,,,,,,
321050203,32,1,5,2,3,,1,105,3,,"SkillTree","STName3210502","配件厂","配件领取容量科技",1,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",3,,,,,,,,,,0,0,,,,,180,,,3,,300,30,0,,0,,,,,,,,,,,,,,,,,,
321050204,32,1,5,2,4,,1,105,4,,"SkillTree","STName3210502","配件厂","配件领取容量科技",1,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",4,,,,,,,,,,0,0,,,,,240,,,4,,400,40,0,,0,,,,,,,,,,,,,,,,,,
321050205,32,1,5,2,5,,1,105,5,,"SkillTree","STName3210502","配件厂","配件领取容量科技",1,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",5,,,,,,,,,,8,0,,,,,300,,,5,,500,50,0,,0,,,,,,,,,,,,,,,,,,
321050206,32,1,5,2,6,,1,105,6,,"SkillTree","STName3210502","配件厂","配件领取容量科技",1,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",6,,,,,,,,,,0,0,,,,,360,,,6,,600,60,0,,0,,,,,,,,,,,,,,,,,,
321050207,32,1,5,2,7,,1,105,7,,"SkillTree","STName3210502","配件厂","配件领取容量科技",1,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",7,,,,,,,,,,0,0,,,,,420,,,7,,700,70,0,,0,,,,,,,,,,,,,,,,,,
321050208,32,1,5,2,8,,1,105,8,,"SkillTree","STName3210502","配件厂","配件领取容量科技",1,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",8,,,,,,,,,,0,0,,,,,480,,,8,,800,80,0,,0,,,,,,,,,,,,,,,,,,
321050209,32,1,5,2,9,,1,105,9,,"SkillTree","STName3210502","配件厂","配件领取容量科技",1,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",9,,,,,,,,,,0,0,,,,,540,,,9,,900,90,0,,0,,,,,,,,,,,,,,,,,,
321050210,32,1,5,2,10,,1,105,10,,"SkillTree","STName3210502","配件厂","配件领取容量科技",1,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",10,,,,,,,,,,12,0,,,,,600,,,10,,1000,100,0,,0,,,,,,,,,,,,,,,,,,
321050211,32,1,5,2,11,,1,105,11,,"SkillTree","STName3210502","配件厂","配件领取容量科技",1,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",11,,,,,,,,,,0,0,,,,,660,,,11,,1100,110,0,,0,,,,,,,,,,,,,,,,,,
321050212,32,1,5,2,12,,1,105,12,,"SkillTree","STName3210502","配件厂","配件领取容量科技",1,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",12,,,,,,,,,,0,0,,,,,720,,,12,,1200,120,0,,0,,,,,,,,,,,,,,,,,,
321050213,32,1,5,2,13,,1,105,13,,"SkillTree","STName3210502","配件厂","配件领取容量科技",0,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",13,,,,,,,,,,0,0,,,,,780,,,13,,1300,130,0,,0,,,,,,,,,,,,,,,,,,
321050214,32,1,5,2,14,,1,105,14,,"SkillTree","STName3210502","配件厂","配件领取容量科技",0,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",14,,,,,,,,,,0,0,,,,,840,,,14,,1400,140,0,,0,,,,,,,,,,,,,,,,,,
321050215,32,1,5,2,15,,1,105,15,,"SkillTree","STName3210502","配件厂","配件领取容量科技",0,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",15,,,,,,,,,,17,0,,,,,900,,,15,,1500,150,0,,0,,,,,,,,,,,,,,,,,,
321050216,32,1,5,2,16,,1,105,16,,"SkillTree","STName3210502","配件厂","配件领取容量科技",0,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",16,,,,,,,,,,0,0,,,,,960,,,16,,1600,160,0,,0,,,,,,,,,,,,,,,,,,
321050217,32,1,5,2,17,,1,105,17,,"SkillTree","STName3210502","配件厂","配件领取容量科技",0,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",17,,,,,,,,,,0,0,,,,,1020,,,17,,1700,170,0,,0,,,,,,,,,,,,,,,,,,
321050218,32,1,5,2,18,,1,105,18,,"SkillTree","STName3210502","配件厂","配件领取容量科技",0,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",18,,,,,,,,,,0,0,,,,,1080,,,18,,1800,180,0,,0,,,,,,,,,,,,,,,,,,
321050219,32,1,5,2,19,,1,105,19,,"SkillTree","STName3210502","配件厂","配件领取容量科技",0,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",19,,,,,,,,,,0,0,,,,,1140,,,19,,1900,190,0,,0,,,,,,,,,,,,,,,,,,
321050220,32,1,5,2,20,,1,105,20,,"SkillTree","STName3210502","配件厂","配件领取容量科技",0,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",20,,,,,,,,,,21,0,,,,,1200,,,20,,2000,200,0,,0,,,,,,,,,,,,,,,,,,
321050221,32,1,5,2,21,,1,105,21,,"SkillTree","STName3210502","配件厂","配件领取容量科技",0,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",21,,,,,,,,,,0,0,,,,,1260,,,21,,2100,210,0,,0,,,,,,,,,,,,,,,,,,
321050222,32,1,5,2,22,,1,105,22,,"SkillTree","STName3210502","配件厂","配件领取容量科技",0,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",22,,,,,,,,,,0,0,,,,,1320,,,22,,2200,220,0,,0,,,,,,,,,,,,,,,,,,
321050223,32,1,5,2,23,,1,105,23,,"SkillTree","STName3210502","配件厂","配件领取容量科技",0,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",23,,,,,,,,,,0,0,,,,,1380,,,23,,2300,230,0,,0,,,,,,,,,,,,,,,,,,
321050224,32,1,5,2,24,,1,105,24,,"SkillTree","STName3210502","配件厂","配件领取容量科技",0,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",24,,,,,,,,,,0,0,,,,,1440,,,24,,2400,240,0,,0,,,,,,,,,,,,,,,,,,
321050225,32,1,5,2,25,,1,105,25,,"SkillTree","STName3210502","配件厂","配件领取容量科技",0,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",25,,,,,,,,,,26,0,,,,,1500,,,25,,2500,250,0,,0,,,,,,,,,,,,,,,,,,
321050226,32,1,5,2,26,,1,105,26,,"SkillTree","STName3210502","配件厂","配件领取容量科技",0,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",26,,,,,,,,,,0,0,,,,,1560,,,26,,2600,260,0,,0,,,,,,,,,,,,,,,,,,
321050227,32,1,5,2,27,,1,105,27,,"SkillTree","STName3210502","配件厂","配件领取容量科技",0,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",27,,,,,,,,,,0,0,,,,,1620,,,27,,2700,270,0,,0,,,,,,,,,,,,,,,,,,
321050228,32,1,5,2,28,,1,105,28,,"SkillTree","STName3210502","配件厂","配件领取容量科技",0,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",28,,,,,,,,,,0,0,,,,,1680,,,28,,2800,280,0,,0,,,,,,,,,,,,,,,,,,
321050229,32,1,5,2,29,,1,105,29,,"SkillTree","STName3210502","配件厂","配件领取容量科技",0,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",29,,,,,,,,,,0,0,,,,,1740,,,29,,2900,290,0,,0,,,,,,,,,,,,,,,,,,
321050230,32,1,5,2,30,,1,105,30,,"SkillTree","STName3210502","配件厂","配件领取容量科技",0,12,"UITexture/TechProd/",321050201,UITexture/TechProd/321050201.png,"STProperty3210502",0,,,,1,,121050002,"配件领取容量",30,,,,,,,,,,30,0,,,,,1800,,,30,,3000,300,0,,0,,,,,,,,,,,,,,,,,,
321060101,32,1,6,1,1,,1,106,1,,,,,,0,12,"UITexture/TechProd/",321060101,UITexture/TechProd/321060101.png,,0,,,,0,,0,,,,,,,,,,,,0,0,,,,,3,,,,3,,,0,,0,,,,,,,,,,,,,,,,,,
321060102,32,1,6,1,2,,1,106,2,,,,,,0,12,"UITexture/TechProd/",321060102,UITexture/TechProd/321060102.png,,0,,,,0,,0,,,,,,,,,,,,0,0,,,,,3,,,,3,,,0,,0,,,,,,,,,,,,,,,,,,
321060103,32,1,6,1,3,,1,106,3,,,,,,0,12,"UITexture/TechProd/",321060103,UITexture/TechProd/321060103.png,,0,,,,0,,0,,,,,,,,,,,,0,0,,,,,3,,,,3,,,0,,0,,,,,,,,,,,,,,,,,,
321060104,32,1,6,1,4,,1,106,4,,,,,,0,12,"UITexture/TechProd/",321060104,UITexture/TechProd/321060104.png,,0,,,,0,,0,,,,,,,,,,,,0,0,,,,,3,,,,3,,,0,,0,,,,,,,,,,,,,,,,,,
321060105,32,1,6,1,5,,1,106,5,,,,,,0,12,"UITexture/TechProd/",321060105,UITexture/TechProd/321060105.png,,0,,,,0,,0,,,,,,,,,,,,0,0,,,,,3,,,,3,,,0,,0,,,,,,,,,,,,,,,,,,
322010101,32,2,1,1,1,,2,201,1,,"SkillTree","STName3220101","采集厂","采集速度系数科技",1,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",2001,2,1,,1,,122010001,"采集速度系数",5,,,,,,,,,,1,0,,,,,60,,,1,,100,10,0,,0,,,,,,,,,,,,,,,,,,
322010102,32,2,1,1,2,,2,201,2,,"SkillTree","STName3220101","采集厂","采集速度系数科技",1,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",10,,,,,,,,,,0,0,,,,,120,,,2,,200,20,0,,0,,,,,,,,,,,,,,,,,,
322010103,32,2,1,1,3,,2,201,3,,"SkillTree","STName3220101","采集厂","采集速度系数科技",1,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",15,,,,,,,,,,0,0,,,,,180,,,3,,300,30,0,,0,,,,,,,,,,,,,,,,,,
322010104,32,2,1,1,4,,2,201,4,,"SkillTree","STName3220101","采集厂","采集速度系数科技",1,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",20,,,,,,,,,,0,0,,,,,240,,,4,,400,40,0,,0,,,,,,,,,,,,,,,,,,
322010105,32,2,1,1,5,,2,201,5,,"SkillTree","STName3220101","采集厂","采集速度系数科技",1,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",50,,,,,,,,,,5,0,,,,,300,,,5,,500,50,0,,0,,,,,,,,,,,,,,,,,,
322010106,32,2,1,1,6,,2,201,6,,"SkillTree","STName3220101","采集厂","采集速度系数科技",1,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",55,,,,,,,,,,0,0,,,,,360,,,6,,600,60,0,,0,,,,,,,,,,,,,,,,,,
322010107,32,2,1,1,7,,2,201,7,,"SkillTree","STName3220101","采集厂","采集速度系数科技",1,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",60,,,,,,,,,,0,0,,,,,420,,,7,,700,70,0,,0,,,,,,,,,,,,,,,,,,
322010108,32,2,1,1,8,,2,201,8,,"SkillTree","STName3220101","采集厂","采集速度系数科技",1,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",65,,,,,,,,,,0,0,,,,,480,,,8,,800,80,0,,0,,,,,,,,,,,,,,,,,,
322010109,32,2,1,1,9,,2,201,9,,"SkillTree","STName3220101","采集厂","采集速度系数科技",1,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",70,,,,,,,,,,0,0,,,,,540,,,9,,900,90,0,,0,,,,,,,,,,,,,,,,,,
322010110,32,2,1,1,10,,2,201,10,,"SkillTree","STName3220101","采集厂","采集速度系数科技",1,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",100,,,,,,,,,,10,0,,,,,600,,,10,,1000,100,0,,0,,,,,,,,,,,,,,,,,,
322010111,32,2,1,1,11,,2,201,11,,"SkillTree","STName3220101","采集厂","采集速度系数科技",1,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",105,,,,,,,,,,0,0,,,,,660,,,11,,1100,110,0,,0,,,,,,,,,,,,,,,,,,
322010112,32,2,1,1,12,,2,201,12,,"SkillTree","STName3220101","采集厂","采集速度系数科技",1,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",110,,,,,,,,,,0,0,,,,,720,,,12,,1200,120,0,,0,,,,,,,,,,,,,,,,,,
322010113,32,2,1,1,13,,2,201,13,,"SkillTree","STName3220101","采集厂","采集速度系数科技",0,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",115,,,,,,,,,,0,0,,,,,780,,,13,,1300,130,0,,0,,,,,,,,,,,,,,,,,,
322010114,32,2,1,1,14,,2,201,14,,"SkillTree","STName3220101","采集厂","采集速度系数科技",0,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",120,,,,,,,,,,0,0,,,,,840,,,14,,1400,140,0,,0,,,,,,,,,,,,,,,,,,
322010115,32,2,1,1,15,,2,201,15,,"SkillTree","STName3220101","采集厂","采集速度系数科技",0,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",150,,,,,,,,,,14,0,,,,,900,,,15,,1500,150,0,,0,,,,,,,,,,,,,,,,,,
322010116,32,2,1,1,16,,2,201,16,,"SkillTree","STName3220101","采集厂","采集速度系数科技",0,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",155,,,,,,,,,,0,0,,,,,960,,,16,,1600,160,0,,0,,,,,,,,,,,,,,,,,,
322010117,32,2,1,1,17,,2,201,17,,"SkillTree","STName3220101","采集厂","采集速度系数科技",0,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",160,,,,,,,,,,0,0,,,,,1020,,,17,,1700,170,0,,0,,,,,,,,,,,,,,,,,,
322010118,32,2,1,1,18,,2,201,18,,"SkillTree","STName3220101","采集厂","采集速度系数科技",0,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",165,,,,,,,,,,0,0,,,,,1080,,,18,,1800,180,0,,0,,,,,,,,,,,,,,,,,,
322010119,32,2,1,1,19,,2,201,19,,"SkillTree","STName3220101","采集厂","采集速度系数科技",0,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",170,,,,,,,,,,0,0,,,,,1140,,,19,,1900,190,0,,0,,,,,,,,,,,,,,,,,,
322010120,32,2,1,1,20,,2,201,20,,"SkillTree","STName3220101","采集厂","采集速度系数科技",0,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",200,,,,,,,,,,19,0,,,,,1200,,,20,,2000,200,0,,0,,,,,,,,,,,,,,,,,,
322010121,32,2,1,1,21,,2,201,21,,"SkillTree","STName3220101","采集厂","采集速度系数科技",0,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",205,,,,,,,,,,0,0,,,,,1260,,,21,,2100,210,0,,0,,,,,,,,,,,,,,,,,,
322010122,32,2,1,1,22,,2,201,22,,"SkillTree","STName3220101","采集厂","采集速度系数科技",0,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",210,,,,,,,,,,0,0,,,,,1320,,,22,,2200,220,0,,0,,,,,,,,,,,,,,,,,,
322010123,32,2,1,1,23,,2,201,23,,"SkillTree","STName3220101","采集厂","采集速度系数科技",0,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",215,,,,,,,,,,0,0,,,,,1380,,,23,,2300,230,0,,0,,,,,,,,,,,,,,,,,,
322010124,32,2,1,1,24,,2,201,24,,"SkillTree","STName3220101","采集厂","采集速度系数科技",0,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",220,,,,,,,,,,0,0,,,,,1440,,,24,,2400,240,0,,0,,,,,,,,,,,,,,,,,,
322010125,32,2,1,1,25,,2,201,25,,"SkillTree","STName3220101","采集厂","采集速度系数科技",0,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",250,,,,,,,,,,23,0,,,,,1500,,,25,,2500,250,0,,0,,,,,,,,,,,,,,,,,,
322010126,32,2,1,1,26,,2,201,26,,"SkillTree","STName3220101","采集厂","采集速度系数科技",0,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",255,,,,,,,,,,0,0,,,,,1560,,,26,,2600,260,0,,0,,,,,,,,,,,,,,,,,,
322010127,32,2,1,1,27,,2,201,27,,"SkillTree","STName3220101","采集厂","采集速度系数科技",0,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",260,,,,,,,,,,0,0,,,,,1620,,,27,,2700,270,0,,0,,,,,,,,,,,,,,,,,,
322010128,32,2,1,1,28,,2,201,28,,"SkillTree","STName3220101","采集厂","采集速度系数科技",0,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",265,,,,,,,,,,0,0,,,,,1680,,,28,,2800,280,0,,0,,,,,,,,,,,,,,,,,,
322010129,32,2,1,1,29,,2,201,29,,"SkillTree","STName3220101","采集厂","采集速度系数科技",0,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",270,,,,,,,,,,0,0,,,,,1740,,,29,,2900,290,0,,0,,,,,,,,,,,,,,,,,,
322010130,32,2,1,1,30,,2,201,30,,"SkillTree","STName3220101","采集厂","采集速度系数科技",0,12,"UITexture/TechProd/",322010101,UITexture/TechProd/322010101.png,"STProperty3220101",0,,,,1,,122010001,"采集速度系数",300,,,,,,,,,,28,0,,,,,1800,,,30,,3000,300,0,,0,,,,,,,,,,,,,,,,,,
322010201,32,2,1,2,1,,2,201,1,,"SkillTree","STName3220102","采集厂","采集最大容量科技",1,12,"UITexture/TechProd/",322010201,UITexture/TechProd/322010201.png,"STProperty3220102",4001,4,1,,1,,122010002,"采集最大容量",4,,,,,,,,,,1,0,,,,,60,,,1,,100,10,0,,0,,,,,,,,,,,,,,,,,,
322010202,32,2,1,2,2,,2,201,2,,"SkillTree","STName3220102","采集厂","采集最大容量科技",1,12,"UITexture/TechProd/",322010201,UITexture/TechProd/322010201.png,"STProperty3220102",0,,,,1,,122010002,"采集最大容量",8,,,,,,,,,,0,0,,,,,120,,,2,,200,20,0,,0,,,,,,,,,,,,,,,,,,
322010203,32,2,1,2,3,,2,201,3,,"SkillTree","STName3220102","采集厂","采集最大容量科技",1,12,"UITexture/TechProd/",322010201,UITexture/TechProd/322010201.png,"STProperty3220102",0,,,,1,,122010002,"采集最大容量",12,,,,,,,,,,0,0,,,,,180,,,3,,300,30,0,,0,,,,,,,,,,,,,,,,,,
322010204,32,2,1,2,4,,2,201,4,,"SkillTree","STName3220102","采集厂","采集最大容量科技",1,12,"UITexture/TechProd/",322010201,UITexture/TechProd/322010201.png,"STProperty3220102",0,,,,1,,122010002,"采集最大容量",16,,,,,,,,,,0,0,,,,,240,,,4,,400,40,0,,0,,,,,,,,,,,,,,,,,,
322010205,32,2,1,2,5,,2,201,5,,"SkillTree","STName3220102","采集厂","采集最大容量科技",1,12,"UITexture/TechProd/",322010201,UITexture/TechProd/322010201.png,"STProperty3220102",0,,,,1,,122010002,"采集最大容量",40,,,,,,,,,,5,0,,,,,300,,,5,,500,50,0,,0,,,,,,,,,,,,,,,,,,
322010206,32,2,1,2,6,,2,201,6,,"SkillTree","STName3220102","采集厂","采集最大容量科技",1,12,"UITexture/TechProd/",322010201,UITexture/TechProd/322010201.png,"STProperty3220102",0,,,,1,,122010002,"采集最大容量",44,,,,,,,,,,0,0,,,,,360,,,6,,600,60,0,,0,,,,,,,,,,,,,,,,,,
322010207,32,2,1,2,7,,2,201,7,,"SkillTree","STName3220102","采集厂","采集最大容量科技",1,12,"UITexture/TechProd/",322010201,UITexture/TechProd/322010201.png,"STProperty3220102",0,,,,1,,122010002,"采集最大容量",48,,,,,,,,,,0,0,,,,,420,,,7,,700,70,0,,0,,,,,,,,,,,,,,,,,,
322010208,32,2,1,2,8,,2,201,8,,"SkillTree","STName3220102","采集厂","采集最大容量科技",1,12,"UITexture/TechProd/",322010201,UITexture/TechProd/322010201.png,"STProperty3220102",0,,,,1,,122010002,"采集最大容量",52,,,,,,,,,,0,0,,,,,480,,,8,,800,80,0,,0,,,,,,,,,,,,,,,,,,
322010209,32,2,1,2,9,,2,201,9,,"SkillTree","STName3220102","采集厂","采集最大容量科技",1,12,"UITexture/TechProd/",322010201,UITexture/TechProd/322010201.png,"STProperty3220102",0,,,,1,,122010002,"采集最大容量",56,,,,,,,,,,0,0,,,,,540,,,9,,900,90,0,,0,,,,,,,,,,,,,,,,,,
322010210,32,2,1,2,10,,2,201,10,,"SkillTree","STName3220102","采集厂","采集最大容量科技",1,12,"UITexture/TechProd/",322010201,UITexture/TechProd/322010201.png,"STProperty3220102",0,,,,1,,122010002,"采集最大容量",80,,,,,,,,,,10,0,,,,,600,,,10,,1000,100,0,,0,,,,,,,,,,,,,,,,,,
322010211,32,2,1,2,11,,2,201,11,,"SkillTree","STName3220102","采集厂","采集最大容量科技",1,12,"UITexture/TechProd/",322010201,UITexture/TechProd/322010201.png,"STProperty3220102",0,,,,1,,122010002,"采集最大容量",84,,,,,,,,,,0,0,,,,,660,,,11,,1100,110,0,,0,,,,,,,,,,,,,,,,,,
322010212,32,2,1,2,12,,2,201,12,,"SkillTree","STName3220102","采集厂","采集最大容量科技",1,12,"UITexture/TechProd/",322010201,UITexture/TechProd/322010201.png,"STProperty3220102",0,,,,1,,122010002,"采集最大容量",88,,,,,,,,,,0,0,,,,,720,,,12,,1200,120,0,,0,,,,,,,,,,,,,,,,,,
322010213,32,2,1,2,13,,2,201,13,,"SkillTree","STName3220102","采集厂","采集最大容量科技",0,12,"UITexture/TechProd/",322010201,UITexture/TechProd/322010201.png,"STProperty3220102",0,,,,1,,122010002,"采集最大容量",92,,,,,,,,,,0,0,,,,,780,,,13,,1300,130,0,,0,,,,,,,,,,,,,,,,,,
